-2000,0.00228342092956174
-1960,0.00277564331489374
-1920,0.00317672421483617
-1880,0.00237951040738148
-1840,0.00302487067572966
-1800,0.00311597653521704
-1760,0.002678780882156
-1720,0.00402063822459164
-1680,0.00355693620364523
-1640,0.0031987710100041
-1600,0.0043051169015318
-1560,0.00464844874949883
-1520,0.00363545730450543
-1480,0.00398813811474677
-1440,0.00564578252260672
-1400,0.0046399245432527
-1360,0.00551022600178687
-1320,0.0057468275784721
-1280,0.00635934808217637
-1240,0.00824228928547147
-1200,0.00620308840305945
-1160,0.00684909425196883
-1120,0.00698315317461789
-1080,0.00649105935141644
-1040,0.00774158192856564
-1000,0.00646090097090039
-960,0.00498831576920321
-920,0.00435843853626983
-880,0.0011848416347034
-840,0.000697751925667651
-800,-0.00250695000212992
-760,-0.00507482595029788
-720,-0.00990108187890668
-680,-0.0147739476759063
-640,-0.0191583387901251
-600,-0.0250980406720105
-560,-0.0326688487349346
-520,-0.03816664621582
-480,-0.0415797935594658
-440,-0.0424652337811763
-400,-0.042310736184724
-360,-0.0408696329327278
-320,-0.0391249396548054
-280,-0.0356186433683499
-240,-0.0310733045280812
-200,-0.0300231533754846
-160,-0.0274389519066756
-120,-0.0251180230312228
-80,-0.0208199160987708
-40,-0.0177950704400492
0,-0.0147140306744014
40,-0.0106259899710419
80,-0.0056851242881582
120,-0.000175914184843175
160,0.00251686603728301
200,0.00559691863166352
240,0.0105298099577238
280,0.0125775606172755
320,0.0134772633950123
360,0.0174518445587336
400,0.0171775801629914
440,0.0182406266769802
480,0.0190396746108777
520,0.0183203619575148
560,0.0161976784377121
600,0.0156736716339862
640,0.0143777654795614
680,0.0138569762352976
720,0.0117185530705883
760,0.0110687974563353
800,0.0107466494936106
840,0.00950108587187726
880,0.00818632000374049
920,0.00797886052893745
960,0.00597676837748421
1000,0.00694656667837165
1040,0.00624095517882356
1080,0.00389914664894079
1120,0.00317354885543218
1160,0.00439949174370856
1200,0.00314189434735402
1240,0.00322488608064288
1280,0.0028846907164295
1320,0.00257415792137312
1360,0.00286161438422587
1400,0.00143975578120389
1440,0.00166676619520307
1480,-6.32296316728971e-05
1520,0.000239947183557257
1560,0.0011380472857431
1600,0.000358741126337415
1640,0.00109326751703184
1680,0.000749152267009698
1720,0.000534042762525511
1760,0.00217081757925617
1800,0.00111232668564505
1840,0.000596903667743373
1880,0.000677874592628303
1920,-0.000156846512952899
1960,0.000126024000255015
2000,0.00149695014637882
